order_id,pincode_id,pincode_rto_rate,pincode_tier,payment_mode,order_value,discount_pct,category,is_weekend_order,address_length,address_has_landmark,pin_matches_city,customer_tenure_days,customer_past_orders,customer_past_rto_count,customer_past_rto_rate,is_rto,_true_risk_prob
ORD000000,PIN0037,0.2736753601098101,2,COD,745.25,5.9,electronics,0,36,1,1,48,0,0,0.249,0,0.288
ORD000001,PIN0235,0.29986877685320723,2,Prepaid,1266.59,27.4,footwear,0,41,0,1,259,3,1,0.328,0,0.11
ORD000002,PIN0072,0.06701772614308195,1,Prepaid,2215.04,22.3,home,1,10,0,1,82,3,0,0.069,0,0.133
ORD000003,PIN0255,0.07668458057365714,3,COD,773.16,10.2,apparel,1,29,0,1,351,5,0,0.096,0,0.312
ORD000004,PIN0203,0.15412845945996423,1,COD,846.84,2.0,home,1,59,1,1,486,8,1,0.123,0,0.245
ORD000005,PIN0133,0.34050859772553177,2,Prepaid,2847.13,0.0,home,0,29,0,1,883,21,5,0.215,0,0.088
ORD000006,PIN0144,0.364923011242039,1,Prepaid,818.83,15.3,footwear,1,92,1,1,184,1,0,0.237,0,0.086
ORD000007,PIN0129,0.04271815136040225,2,Prepaid,635.79,12.0,home,0,35,1,1,247,4,0,0.028,0,0.02
ORD000008,PIN0071,0.18347397774733312,3,COD,2167.6,29.2,apparel,1,26,1,1,139,7,2,0.222,0,0.399
ORD000009,PIN0237,0.21910981619663927,3,Prepaid,927.21,26.9,home,0,51,1,1,184,3,1,0.17,0,0.045
ORD000010,PIN0281,0.08231136897158131,2,COD,1440.06,15.5,home,0,52,0,0,54,2,0,0.13,0,0.551
ORD000011,PIN0178,0.056718874516770906,3,COD,1647.51,14.0,electronics,0,72,1,1,583,15,1,0.092,0,0.167
ORD000012,PIN0276,0.2879002600445968,2,COD,546.04,1.2,home,0,39,1,1,20,0,0,0.223,0,0.389
ORD000013,PIN0254,0.07646704519158327,1,COD,247.43,27.7,beauty,0,27,1,1,771,10,1,0.06,0,0.198
ORD000014,PIN0252,0.13392418026200584,1,COD,281.15,14.3,footwear,0,33,0,1,110,2,0,0.094,0,0.274
ORD000015,PIN0156,0.3125517351760875,2,COD,310.7,22.3,footwear,0,69,0,1,279,7,1,0.214,1,0.458
ORD000016,PIN0050,0.3528860025129336,2,Prepaid,1094.64,29.1,apparel,0,77,0,1,33,1,0,0.259,0,0.112
ORD000017,PIN0068,0.10820352955491426,2,COD,2355.14,8.2,electronics,0,33,0,1,26,0,0,0.074,0,0.349
ORD000018,PIN0215,0.10605263267725348,3,COD,739.46,5.1,apparel,0,42,1,1,67,2,0,0.136,0,0.175
ORD000019,PIN0241,0.11293552913952268,1,COD,2463.01,44.6,apparel,0,72,1,1,5,0,0,0.083,1,0.393
ORD000020,PIN0086,0.2321781775386277,1,COD,381.17,22.1,apparel,0,59,1,1,1,0,0,0.16,0,0.41
ORD000021,PIN0141,0.07604489038465068,2,COD,1532.59,11.7,beauty,1,33,1,0,146,1,0,0.105,1,0.505
ORD000022,PIN0007,0.10282236469347789,1,COD,419.35,29.9,apparel,0,21,1,1,0,0,0,0.214,0,0.634
ORD000023,PIN0022,0.2903842384680754,2,COD,494.53,11.3,home,0,31,0,1,69,0,0,0.221,0,0.403
ORD000024,PIN0001,0.19426107661547698,1,Prepaid,1591.12,18.9,apparel,0,61,1,1,7,0,0,0.141,0,0.06
ORD000025,PIN0209,0.12881420639621405,1,Prepaid,697.25,8.2,apparel,1,14,1,0,61,1,0,0.151,1,0.264
ORD000026,PIN0264,0.06150720406271427,2,COD,1223.11,14.8,apparel,0,48,0,1,270,7,0,0.059,0,0.23
ORD000027,PIN0216,0.19203502063602926,2,Prepaid,378.37,11.7,electronics,1,37,1,1,7,0,0,0.11,0,0.073
ORD000028,PIN0141,0.07604489038465068,2,Prepaid,1612.44,6.0,apparel,1,29,1,1,57,0,0,0.219,0,0.037
ORD000029,PIN0115,0.13725424899347285,2,Prepaid,1174.33,17.9,footwear,0,34,1,1,47,0,0,0.119,0,0.029
ORD000030,PIN0121,0.1678902033753326,1,Prepaid,642.55,7.3,electronics,1,61,1,1,27,0,0,0.141,0,0.068
ORD000031,PIN0030,0.16141970430743355,2,Prepaid,4914.76,21.9,footwear,0,55,1,1,181,4,1,0.139,1,0.047
ORD000032,PIN0071,0.18347397774733312,3,Prepaid,858.89,11.3,apparel,1,65,0,1,58,1,0,0.173,0,0.072
ORD000033,PIN0049,0.161172247730865,2,Prepaid,1886.55,0.0,apparel,0,28,0,0,152,1,0,0.125,0,0.112
ORD000034,PIN0003,0.21173917998291497,1,COD,271.32,22.5,footwear,0,10,0,1,85,5,1,0.215,1,0.641
ORD000035,PIN0280,0.20881393589165134,1,COD,1500.67,22.7,electronics,0,48,1,1,189,10,2,0.167,0,0.279
ORD000036,PIN0043,0.037347311003300854,1,COD,1773.48,42.0,apparel,0,44,1,1,66,1,0,0.117,0,0.242
ORD000037,PIN0076,0.3281745219329262,2,COD,2113.94,15.2,apparel,1,34,1,1,529,5,1,0.175,0,0.406
ORD000038,PIN0026,0.06540982224658476,3,COD,1938.26,17.2,footwear,1,5,1,1,196,4,0,0.057,0,0.443
ORD000039,PIN0109,0.08188580156604809,1,COD,342.58,20.7,apparel,0,61,0,1,461,2,0,0.106,1,0.275
ORD000040,PIN0297,0.37085986126357623,1,Prepaid,1074.25,27.2,electronics,1,5,1,1,281,2,0,0.24,0,0.238
ORD000041,PIN0015,0.1612409751583916,2,Prepaid,3551.6,26.5,footwear,0,58,0,1,37,1,0,0.225,0,0.09
ORD000042,PIN0064,0.13292062134901952,2,Prepaid,646.9,18.8,home,1,57,0,1,77,3,1,0.191,0,0.074
ORD000043,PIN0196,0.2509986970916318,1,COD,1981.58,14.6,home,0,56,1,0,390,4,1,0.182,0,0.565
ORD000044,PIN0025,0.18879443382778816,3,COD,5944.82,25.1,electronics,1,43,0,1,113,1,0,0.21,1,0.57
ORD000045,PIN0226,0.2118414911064497,2,Prepaid,3984.27,14.1,home,0,5,1,1,101,3,1,0.178,1,0.126
ORD000046,PIN0282,0.1658490060269755,3,Prepaid,429.28,0.0,beauty,1,12,0,1,143,3,0,0.145,0,0.135
ORD000047,PIN0153,0.08879927597471768,3,Prepaid,1868.12,0.0,apparel,0,27,1,1,42,1,0,0.108,0,0.02
ORD000048,PIN0104,0.25616938553288543,3,Prepaid,1949.64,11.5,beauty,0,81,0,1,103,3,1,0.176,0,0.06
ORD000049,PIN0022,0.2903842384680754,2,Prepaid,1664.75,16.4,footwear,1,63,0,1,534,12,3,0.222,0,0.107
ORD000050,PIN0265,0.05224771045445513,3,COD,366.25,44.7,apparel,0,40,1,1,557,9,1,0.116,0,0.256
ORD000051,PIN0195,0.37529746541575604,1,COD,1237.9,13.6,electronics,0,32,1,1,120,1,0,0.26,0,0.375
ORD000052,PIN0126,0.06754840772919254,2,COD,1231.64,15.6,electronics,0,47,1,1,23,0,0,0.079,0,0.263
ORD000053,PIN0279,0.16028322934219974,1,Prepaid,318.89,10.1,home,0,61,0,1,18,0,0,0.091,0,0.067
ORD000054,PIN0155,0.06950314701364126,3,Prepaid,842.15,22.4,beauty,0,50,1,1,315,6,0,0.067,0,0.024
ORD000055,PIN0083,0.20019172067931276,1,COD,1278.74,18.4,electronics,1,16,1,1,54,2,0,0.197,0,0.597
ORD000056,PIN0166,0.31626333508388804,3,Prepaid,987.45,7.3,apparel,0,73,0,0,318,7,2,0.222,0,0.201
ORD000057,PIN0136,0.02334406143818844,1,COD,1751.14,2.9,apparel,0,54,0,1,566,12,1,0.102,0,0.196
ORD000058,PIN0288,0.1006295496297796,1,COD,825.41,10.2,apparel,0,34,1,1,118,2,0,0.087,0,0.172
ORD000059,PIN0266,0.20105193051315587,2,COD,1145.55,4.9,home,0,51,1,1,80,2,1,0.3,0,0.27
ORD000060,PIN0279,0.16028322934219974,1,COD,2069.67,12.2,electronics,0,68,0,1,117,2,0,0.181,1,0.316
ORD000061,PIN0143,0.30134916635767295,3,Prepaid,3276.49,16.7,electronics,1,52,1,0,111,3,1,0.172,0,0.252
ORD000062,PIN0239,0.03046948595756026,3,COD,358.69,9.0,electronics,0,53,1,1,111,3,0,0.045,0,0.136
ORD000063,PIN0087,0.40978203380181466,3,Prepaid,1704.84,32.5,electronics,1,75,1,1,364,6,3,0.488,0,0.186
ORD000064,PIN0281,0.08231136897158131,2,Prepaid,722.5,28.9,home,0,31,1,1,118,0,0,0.143,0,0.032
ORD000065,PIN0243,0.11429433278022987,2,COD,1437.12,12.2,home,1,25,0,1,5,0,0,0.092,1,0.469
ORD000066,PIN0074,0.38386906035223406,3,COD,333.12,3.4,home,0,35,0,1,482,11,3,0.242,1,0.437
ORD000067,PIN0190,0.2448648372778589,2,Prepaid,2432.73,14.6,apparel,1,61,1,1,588,11,2,0.168,0,0.057
ORD000068,PIN0216,0.19203502063602926,2,COD,545.55,13.4,home,1,64,1,1,131,3,1,0.208,0,0.337
ORD000069,PIN0151,0.11454454166446207,2,Prepaid,2095.54,14.2,apparel,0,48,1,0,152,0,0,0.215,0,0.099
ORD000070,PIN0183,0.021054208464102726,1,COD,377.56,10.2,apparel,1,28,0,1,293,6,1,0.104,0,0.287
ORD000071,PIN0259,0.3688193464675404,1,Prepaid,268.86,2.4,beauty,0,80,0,1,192,7,2,0.22,0,0.072
ORD000072,PIN0253,0.21270011367388433,2,Prepaid,895.01,15.4,apparel,0,21,0,1,103,3,1,0.201,1,0.147
ORD000073,PIN0262,0.32304958607289985,3,COD,1246.76,10.8,apparel,1,35,1,1,165,2,0,0.213,0,0.403
ORD000074,PIN0052,0.28899282241905344,2,COD,4222.22,11.9,apparel,0,30,0,1,745,8,2,0.199,1,0.475
ORD000075,PIN0002,0.2817196880794777,2,Prepaid,1224.57,16.1,beauty,0,66,0,1,9,0,0,0.215,0,0.12
ORD000076,PIN0076,0.3281745219329262,2,COD,428.25,14.2,apparel,0,41,1,1,509,11,3,0.278,0,0.359
ORD000077,PIN0149,0.03702292684201334,2,COD,1865.96,15.9,footwear,1,77,1,1,247,3,0,0.073,0,0.218
ORD000078,PIN0203,0.15412845945996423,1,COD,2709.88,10.2,electronics,1,61,1,1,681,12,2,0.151,0,0.354
