threshold,TN,FP,FN,TP,precision,recall,f1_score,total_cost
0.1,776,1029,55,540,0.3441682600382409,0.907563025210084,0.49907578558225507,170850.0
0.15,931,874,71,524,0.3748211731044349,0.880672268907563,0.5258404415454089,152400.0
0.2,1072,733,95,500,0.40551500405515006,0.8403361344537815,0.5470459518599562,138450.0
0.25,1212,593,128,467,0.44056603773584907,0.7848739495798319,0.5643504531722054,127350.0
0.3,1345,460,184,411,0.4718714121699196,0.6907563025210084,0.5607094133697135,124200.0
0.35,1460,345,251,344,0.49927431059506533,0.5781512605042017,0.5358255451713395,127050.0
0.4,1560,245,308,287,0.5394736842105263,0.4823529411764706,0.5093167701863354,129150.0
0.45,1632,173,366,229,0.5696517412935324,0.38487394957983195,0.4593781344032096,135750.0
0.5,1693,112,415,180,0.6164383561643836,0.3025210084033613,0.40586245772266066,141300.0
0.55,1740,65,460,135,0.675,0.226890756302521,0.33962264150943394,147750.0
0.6,1773,32,502,93,0.744,0.15630252100840336,0.25833333333333336,155400.0
0.65,1788,17,527,68,0.8,0.11428571428571428,0.2,160650.0
0.7,1798,7,552,43,0.86,0.07226890756302522,0.13333333333333333,166650.0
0.75,1801,4,564,31,0.8857142857142857,0.052100840336134456,0.09841269841269841,169800.0
0.8,1804,1,572,23,0.9583333333333334,0.03865546218487395,0.07431340872374798,171750.0
0.85,1804,1,586,9,0.9,0.015126050420168067,0.02975206611570248,175950.0
0.9,1805,0,592,3,1.0,0.005042016806722689,0.010033444816053512,177600.0
